Course Name,Timestamp,Rating,Comment
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-29 11:42:46,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-29 07:20:16,5.0,
Apache Sqoop for Data Ingestion into Hadoop HDFS,2022-07-29 06:06:27,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-29 05:49:35,4.5,
Data Engineering using Databricks on AWS and Azure,2022-07-29 04:42:56,3.5,"It's good course for starter as it focuses on extensively on hands on. 
But it lacks in depth of concepts, it barely touches all topic, but no deep dive. 

It would be better, if there are following modules explaining
1.  cost model of databricks
2. what is DBFS ? How it works ?
3. Best practices around platform
4. how automatically deploy, monitor, debug a production application."
Data Engineering using AWS Data Analytics Services,2022-07-29 04:09:20,4.0,really good
Mastering AWS Lambda Functions for Data Engineers,2022-07-29 00:49:27,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-28 21:40:36,2.5,
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-28 20:03:59,3.5,
Data Engineering using Databricks on AWS and Azure,2022-07-28 20:01:29,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-28 18:51:07,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-28 18:10:32,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-28 18:07:26,5.0,great course. Detailed and very helpful for beginners.
Data Engineering using AWS Data Analytics Services,2022-07-28 17:41:54,4.5,
Data Engineering using Databricks on AWS and Azure,2022-07-28 14:19:06,4.0,
Data Engineering using Databricks on AWS and Azure,2022-07-28 13:13:29,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-28 12:30:57,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-28 12:21:06,4.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-28 09:27:26,5.0,
Data Engineering using Databricks on AWS and Azure,2022-07-28 05:27:37,4.5,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-28 04:27:54,5.0,
Linux Fundamentals for IT Professionals,2022-07-28 04:00:38,3.5,
Data Engineering using AWS Data Analytics Services,2022-07-28 03:03:49,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-27 17:51:25,4.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-27 15:55:55,4.0,Because i need to learn about the databricks
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-27 13:51:45,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-27 13:35:22,4.0,
Setup Development Environment for Python 3 and Pyspark 3,2022-07-27 13:13:11,5.0,
Data Engineering using AWS Data Analytics Services,2022-07-27 12:13:26,5.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-27 11:49:59,5.0,"I would suggest this course to someone who is planning to enter a career as a data engineer, this course is excellent
And This course is very well structured with good contents.

Thank you Durga."
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-27 11:47:47,5.0,
Mastering AWS Lambda Functions for Data Engineers,2022-07-27 08:26:38,5.0,
Spark SQL and PySpark 3 using Python 3 Hands-On with Labs,2022-07-27 08:00:26,5.0,
Getting Started with AWS Lambda Functions using Python,2022-07-27 07:51:28,4.0,got good understanding
Data Engineering using AWS Data Analytics Services,2022-07-27 06:58:58,2.5,
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-27 06:23:58,4.0,
Data Engineering using AWS Data Analytics Services,2022-07-27 05:11:29,4.0,
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-27 00:07:45,4.0,
Data Engineering using AWS Data Analytics Services,2022-07-26 21:05:29,4.5,"One of the most useful course that I have enrolled. Will definitely recommend this course for someone who has some knowledge in spark, python and SQL."
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-26 16:09:38,5.0,Good content
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-26 15:25:44,4.5,
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-26 13:09:17,4.5,
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-26 13:01:16,5.0,
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-26 08:46:42,4.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-26 08:10:43,2.5,
Mastering AWS Lambda Functions for Data Engineers,2022-07-26 05:13:38,5.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-26 03:23:09,3.5,Course was good but it was not covering majority of architecture concepts. Course was running too fast. Its better if you could slow down a bit on explanations otherwise its very hard to grab the information
"Data Engineering Essentials using SQL, Python, and PySpark",2022-07-26 00:11:41,4.0,
Setup Big Data Development Environment,2022-07-25 23:57:14,1.0,
Data Engineering using AWS Data Analytics Services,2022-07-25 22:05:55,4.5,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-25 22:04:36,3.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-25 19:49:05,5.0,
Databricks Essentials for Spark Developers (Azure and AWS),2022-07-25 19:25:09,4.5,
Mastering AWS Elastic Map Reduce for Data Engineers,2022-07-25 19:13:59,4.0,
Databricks Certified Associate Developer - Apache Spark 2022,2022-07-25 18:12:49,4.5,yes. this is very good course
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-25 18:09:42,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-25 16:08:33,3.5,
Data Engineering using AWS Data Analytics Services,2022-07-25 16:01:15,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-25 16:01:03,5.0,
Spark SQL and Spark 3 using Scala Hands-On with Labs,2022-07-25 13:25:23,3.5,
